Date,TypeDepense,Departement,Agence,Montant,Description
2024-12-12,Maintenance,Finance,Nzérékoré,58446,Dépense liée à maintenance
2024-03-16,Marketing,Support Client,Labé,131557,Dépense liée à marketing
2024-11-25,Formation,Marketing,Kindia,178739,Dépense liée à formation
2024-05-27,Marketing,Marketing,Kankan,49281,Dépense liée à marketing
2024-02-16,Infrastructure IT,Marketing,Kindia,69786,Dépense liée à infrastructure it
2024-01-04,Infrastructure IT,Ventes,Kindia,155834,Dépense liée à infrastructure it
2024-08-26,Maintenance,Marketing,Nzérékoré,131175,Dépense liée à maintenance
2024-02-28,Frais bancaires,Support Client,Conakry,147097,Dépense liée à frais bancaires
2024-01-25,Marketing,Finance,Conakry,145371,Dépense liée à marketing
2024-09-04,Autres,Marketing,Nzérékoré,47505,Dépense liée à autres
2024-06-25,Voyages,Ventes,Kankan,193541,Dépense liée à voyages
2024-10-28,Maintenance,Opérations,Labé,36826,Dépense liée à maintenance
2024-06-08,Marketing,Opérations,Kindia,126684,Dépense liée à marketing
2024-03-19,Salaires,Finance,Kankan,163904,Dépense liée à salaires
2024-11-18,Maintenance,Support Client,Kindia,170378,Dépense liée à maintenance
2024-02-27,Infrastructure IT,Support Client,Labé,143651,Dépense liée à infrastructure it
2024-06-23,Salaires,Finance,Kankan,83858,Dépense liée à salaires
2024-10-07,Maintenance,Support Client,Labé,33213,Dépense liée à maintenance
2024-02-29,Frais bancaires,Opérations,Labé,109916,Dépense liée à frais bancaires
2024-06-12,Autres,Ventes,Labé,165946,Dépense liée à autres
2024-02-15,Voyages,Finance,Kankan,57905,Dépense liée à voyages
2024-05-15,Salaires,Ventes,Kindia,11656,Dépense liée à salaires
2024-09-10,Infrastructure IT,Finance,Kankan,73305,Dépense liée à infrastructure it
2024-03-30,Maintenance,Ventes,Labé,46157,Dépense liée à maintenance
2024-08-17,Autres,Support Client,Labé,19357,Dépense liée à autres
2024-03-13,Autres,Ventes,Kankan,131976,Dépense liée à autres
2024-07-26,Formation,Marketing,Kankan,71834,Dépense liée à formation
2024-03-17,Frais bancaires,Opérations,Nzérékoré,88036,Dépense liée à frais bancaires
2024-08-24,Autres,Ventes,Labé,125739,Dépense liée à autres
2024-09-12,Maintenance,Ventes,Kindia,109030,Dépense liée à maintenance
2024-10-21,Autres,Opérations,Conakry,32747,Dépense liée à autres
2024-01-23,Salaires,Finance,Kindia,198276,Dépense liée à salaires
2024-01-06,Infrastructure IT,Marketing,Labé,85750,Dépense liée à infrastructure it
2024-04-04,Voyages,Support Client,Nzérékoré,5341,Dépense liée à voyages
2024-07-13,Frais bancaires,Finance,Nzérékoré,22430,Dépense liée à frais bancaires
2024-07-23,Formation,Finance,Kindia,144974,Dépense liée à formation
2024-05-17,Formation,Support Client,Kankan,193229,Dépense liée à formation
2024-12-03,Maintenance,Opérations,Kindia,60511,Dépense liée à maintenance
2024-10-10,Voyages,Marketing,Nzérékoré,27438,Dépense liée à voyages
2024-06-09,Marketing,Finance,Labé,175396,Dépense liée à marketing
2024-08-04,Salaires,Finance,Labé,173612,Dépense liée à salaires
2024-04-16,Autres,Support Client,Labé,22236,Dépense liée à autres
2024-01-29,Frais bancaires,Ventes,Nzérékoré,12216,Dépense liée à frais bancaires
2024-01-02,Formation,Ventes,Labé,5069,Dépense liée à formation
2024-07-11,Formation,Opérations,Nzérékoré,87836,Dépense liée à formation
2024-01-27,Maintenance,Support Client,Kankan,124007,Dépense liée à maintenance
2024-10-21,Marketing,Finance,Conakry,102941,Dépense liée à marketing
2024-01-17,Voyages,Opérations,Kindia,89025,Dépense liée à voyages
2024-12-12,Salaires,Opérations,Kindia,78940,Dépense liée à salaires
2024-05-27,Autres,Support Client,Kankan,156882,Dépense liée à autres
2024-02-18,Formation,Finance,Kindia,173440,Dépense liée à formation
2024-02-01,Frais bancaires,Marketing,Nzérékoré,81521,Dépense liée à frais bancaires
2024-06-27,Salaires,Ventes,Labé,189322,Dépense liée à salaires
2024-07-20,Maintenance,Support Client,Labé,61825,Dépense liée à maintenance
2024-02-20,Formation,Marketing,Kankan,72537,Dépense liée à formation
2024-10-07,Marketing,Opérations,Kindia,138711,Dépense liée à marketing
2024-10-18,Frais bancaires,Finance,Conakry,26843,Dépense liée à frais bancaires
2024-02-29,Marketing,Opérations,Labé,192922,Dépense liée à marketing
2024-03-18,Frais bancaires,Marketing,Conakry,156765,Dépense liée à frais bancaires
